Date,High,Low,Open,Close,Volume,Name,Day,Month,Year
17-06-20,18351.14063,17894.07227,18366.65234,18104.07813,99119748756,1,17,6,2020
18-06-20,18124.4043,17653.82422,18102.9375,17715.77734,1.17411E+11,1,18,6,2020
19-06-20,17998.87891,17434,17729.72656,17683.24414,1.11032E+11,1,19,6,2020
20-06-20,17910.42383,17619.0957,17661.80664,17636.1543,86959895687,1,20,6,2020
21-06-20,18381.4043,17619.14453,17631.84961,18173.67383,1.32468E+11,1,21,6,2020
22-06-20,18430.03516,17857.46289,18180.37109,18208.14258,91130963635,1,22,6,2020
23-06-20,18551.4707,17503.79883,18226.57227,17660.22266,99863142859,1,23,6,2020
24-06-20,17723.06445,17310.81055,17655.88086,17556.49023,84554273586,1,24,6,2020
25-06-20,17700.89844,17342.73242,17601.65039,17402.58594,1.02414E+11,1,25,6,2020
26-06-20,17579.70898,16199.04199,17379.6543,16517.83008,94866065567,1,26,6,2020
27-06-20,17066.42383,16250.49707,16563.38086,16841.50977,83427132412,1,27,6,2020
28-06-20,17093.27734,16559.44922,16841.94336,17004.86328,92152750949,1,28,6,2020
29-06-20,17078.88281,16681.83594,16984.0918,16773.13672,78224752932,1,29,6,2020
30-06-20,17137.00391,16720.25781,16816.58594,16878.31641,84222568582,1,30,6,2020
01-07-20,16991.75,16412.4375,16885.19727,16648.33008,81737462423,1,1,7,2020
02-07-20,16727.2168,16437.0293,16646.80859,16546.16797,70606226510,1,2,7,2020
03-07-20,16888.33203,16462.93945,16533.86328,16827.34766,73975381115,1,3,7,2020
04-07-20,16829.40039,16254.66211,16776.39063,16567.15625,75350142499,1,4,7,2020
05-07-20,18102.1543,16541.69531,16567.15625,18027.62695,1.20221E+11,1,5,7,2020
06-07-20,18109.32422,17631.94141,17921.21484,17763.15625,88164453015,1,6,7,2020
07-07-20,18384.64258,17675.6543,17766.42578,18227.70703,1.04509E+11,1,7,7,2020
08-07-20,18321.40039,17653.91211,18216.24414,17947.05469,92601753658,1,8,7,2020
09-07-20,18002.88281,17536.07031,17937.77344,17881.77539,84419672341,1,9,7,2020
10-07-20,17951.98047,17712.29688,17884.80078,17795.93359,63110145908,1,10,7,2020
11-07-20,17957.25391,17616.16406,17798.73242,17795.26367,67397880636,1,11,7,2020
12-07-20,17844.67578,17190.87109,17795.26367,17481.43555,90910995891,1,12,7,2020
13-07-20,17477.77539,17171.09375,17471.3125,17325.86523,85770187229,1,13,7,2020
14-07-20,17373.63086,17000.17383,17323.52148,17079.64844,74931839230,1,14,7,2020
15-07-20,17134.81641,16575.77734,17081.20313,16841.67969,86302378769,1,15,7,2020
16-07-20,16860.98047,16702.77344,16842.96289,16687.75391,70480394738,1,16,7,2020
17-07-20,16975.87695,16655.13867,16686.23438,16795.99023,65159055114,1,17,7,2020
18-07-20,17056.27344,16587.75977,16791.77734,17008.96484,71555076138,1,18,7,2020
19-07-20,17047.95313,16566.31641,17010.60742,16650.96289,71184466747,1,19,7,2020
20-07-20,17253.91406,16609.63867,16647.48828,17112.35938,86429659474,1,20,7,2020
21-07-20,17809.04883,17026.52539,17113.2832,17809.04883,92123210236,1,21,7,2020
22-07-20,18083.45898,17680.42578,17816,17781.82227,1.01108E+11,1,22,7,2020
23-07-20,17836.79102,17479.82422,17797.31055,17598.89648,89185725176,1,23,7,2020
24-07-20,18823.27734,17573.61523,17593.32813,18644.56641,1.23174E+11,1,24,7,2020
25-07-20,19089.79492,18293.25,18668.29688,18452.60938,1.25171E+11,1,25,7,2020
26-07-20,20450.82617,18443.2793,18452.24609,20004.18555,1.86156E+11,1,26,7,2020
27-07-20,22127.94141,19889.92578,20075.99414,21612.69531,2.0468E+11,1,27,7,2020
28-07-20,22011.99805,21427.39453,21631.49219,21574.91406,1.43671E+11,1,28,7,2020
29-07-20,22372.67969,21145.94531,21582.05078,21847.1543,1.42838E+11,1,29,7,2020
30-07-20,22826.12109,21490.42188,21831.55469,22516.77344,1.42801E+11,1,30,7,2020
31-07-20,23916.15039,22339.58398,22516.77344,23827.44336,1.83422E+11,1,31,7,2020
01-08-20,25085.30273,20840.29102,23859.10742,21260.39648,2.52062E+11,1,1,8,2020
02-08-20,22797.16992,21146.19141,21270.0918,22289.23633,1.54868E+11,1,2,8,2020
03-08-20,22669.4668,21360.07813,22288.93555,21646.67383,1.41785E+11,1,3,8,2020
04-08-20,22333.50781,21444.67383,21646.53906,22026.87695,1.40002E+11,1,4,8,2020
05-08-20,23875.37109,21640.25195,22020.86719,23127.24219,1.83427E+11,1,5,8,2020
06-08-20,24325.74609,21832.83789,23117.41406,22767.21094,2.30748E+11,1,6,8,2020
07-08-20,23237.2832,22513.76172,22765.85156,22843.68359,1.33467E+11,1,7,8,2020
08-08-20,23208.4707,22139.57422,22902.20703,22537.58594,1.22217E+11,1,8,8,2020
09-08-20,23190.07031,22366.76563,22536.0293,22656.44336,1.42311E+11,1,9,8,2020
10-08-20,22874.35938,20502.28906,22660.19531,21112.46094,1.56451E+11,1,10,8,2020
11-08-20,21857.67383,20529.08008,21120.92773,21504.10938,1.41209E+11,1,11,8,2020
12-08-20,22452.58398,20679.04688,21507.66406,22410.99805,1.48144E+11,1,12,8,2020
13-08-20,22543.42578,21802.21094,22407.47266,21962.22266,1.40247E+11,1,13,8,2020
14-08-20,22965.05078,21951.92969,21951.92969,22681.28906,1.47982E+11,1,14,8,2020
15-08-20,23363.98438,22295.60547,22682.00195,23060.04492,1.51753E+11,1,15,8,2020
16-08-20,24150.60156,22679.56445,23060.04492,23717.09766,1.73021E+11,1,16,8,2020
17-08-20,24150.80078,22684.35156,23720.88477,22684.35156,1.44325E+11,1,17,8,2020
18-08-20,23011.11328,21287.47461,22692.73438,21944.13867,1.41908E+11,1,18,8,2020
19-08-20,22172.73242,21763.50781,21944.03125,22106.17383,95648005221,1,19,8,2020
20-08-20,22804.66406,21279.82227,22101.72656,21302.26953,1.25587E+11,1,20,8,2020
21-08-20,21539.07813,20888.15234,21298.63086,21531.86523,95174154933,1,21,8,2020
22-08-20,21533.58398,21002.95313,21498.01563,21349.56836,77292244431,1,22,8,2020
23-08-20,21790.50781,21231.16797,21357.97852,21614.56445,89906109560,1,23,8,2020
24-08-20,21636.9043,20179.64844,21617.5625,20549.13086,1.08759E+11,1,24,8,2020
25-08-20,20691.15625,20200.96484,20535.94531,20464.19141,85193432730,1,25,8,2020
26-08-20,20569.83398,19255.81055,20453.18945,19519.51172,1.01229E+11,1,26,8,2020
27-08-20,19871.67969,19415.4707,19526.24609,19665.32813,83943150762,1,27,8,2020
28-08-20,19935.78125,19539.48438,19679.82813,19668.22266,81673473160,1,28,8,2020
29-08-20,20407.95117,19640.00781,19660.07422,20407.95117,84909932679,1,29,8,2020
30-08-20,20541.22656,20137.76758,20423.37109,20161.84766,85458337405,1,30,8,2020
31-08-20,21587.33984,19861.00586,20157.27148,21387.9668,1.28254E+11,1,31,8,2020
01-09-20,21502.65234,18961.86133,21366.69336,19347.41406,1.50124E+11,1,1,9,2020
02-09-20,19479.92188,15717.98828,19345.42773,15870.08594,1.38922E+11,1,2,9,2020
03-09-20,17498.29102,15789.89258,15837.37109,16983.93359,1.56082E+11,1,3,9,2020
04-09-20,17210.57617,15863.34375,16966.98242,16502.42773,2.29174E+11,1,4,9,2020
